,ProjectID,RequirementText,Class
0,101,"['system', 'shall', 'refresh', 'display', 'second']",PE
1,101,"['application', 'shall', 'match', 'color', 'schema', 'set', 'forth', 'department', 'homeland', 'security']",LF
2,101,"['project', 'datum', 'readable', 'projection', 'screen', 'viewer', 'able', 'read', 'event', 'activity', 'datum', 'view', 'distance']",US
3,101,"['product', 'shall', 'available', 'normal', 'business', 'hour', 'long', 'user', 'access', 'client', 'pc', 'system', 'available', 'time', 'month', 'operation']",A
4,101,"['project', 'datum', 'understandable', 'projection', 'screen', 'viewer', 'able', 'determine', 'event', 'activity', 'occur', 'current', 'time', 'view', 'distance']",US
5,101,"['product', 'shall', 'ensure', 'access', 'authorized', 'user', 'product', 'able', 'distinguish', 'authorized', 'unauthorized', 'user', 'access', 'attempt']",SE
6,101,"['product', 'shall', 'intuitive', 'self', 'explanatory', 'new', 'user', 'shall', 'able', 'start', 'display', 'event', 'activity', 'minute', 'product']",US
7,101,"['product', 'shall', 'respond', 'fast', 'date', 'datum', 'display']",PE
8,102,"['look', 'feel', 'system', 'shall', 'conform', 'user', 'interface', 'standard', 'smart', 'device']",LF
9,102,"['user', 'interface', 'shall', 'standard', 'menus', 'button', 'navigation']",LF
10,102,"['system', 'shall', 'professional', 'appearance']",LF
11,102,"['product', 'shall', 'consistent', 'color', 'scheme', 'font']",LF
12,102,"['system', 'shall', 'realtor', 'no', 'training']",US
13,102,"['system', 'shall', 'intuitive', 'self', 'explanatory']",US
14,102,"['product', 'shall', 'easy', 'realtor', 'learn']",US
15,102,"['product', 'shall', 'use', 'symbol', 'word', 'naturally', 'understandable', 'realtor', 'community']",US
16,102,"['product', 'shall', 'produce', 'search', 'result', 'acceptable', 'time']",PE
17,102,"['search', 'result', 'shall', 'return', 'no', 'later', 'second', 'user', 'enter', 'search', 'criterion']",PE
18,102,"['product', 'shall', 'generate', 'cma', 'report', 'acceptable', 'time']",PE
19,102,"['cma', 'report', 'shall', 'return', 'no', 'later', 'second', 'user', 'enter', 'cma', 'report', 'criterion']",PE
20,102,"['product', 'shall', 'synchronize', 'contact', 'appointment', 'acceptable', 'time']",PE
21,102,"['product', 'shall', 'synchronize', 'office', 'system', 'hour']",PE
22,102,"['product', 'shall', 'available', 'use', 'hour', 'day', 'day', 'year']",A
23,102,"['access', 'system', 'system', 'available', 'time']",A
24,102,"['product', 'shall', 'operate', 'offline', 'mode', 'internet', 'connection', 'unavailable']",FT
25,102,"['product', 'shall', 'allow', 'user', 'view', 'previously', 'download', 'search', 'result', 'cma', 'report', 'appointment']",FT
26,102,"['product', 'shall', 'retain', 'user', 'preference', 'event', 'failure']",FT
27,102,"['save', 'user', 'preference', 'shall', 'restore', 'system', 'come', 'online']",FT
28,102,"['product', 'shall', 'able', 'support', 'multiple', 'remote', 'user']",SC
29,102,"['product', 'shall', 'able', 'support', 'simultaneous', 'user']",SC
30,102,"['product', 'shall', 'capable', 'handle', 'exist', 'user', 'number', 'expect', 'grow', 'time', 'year']",SC
31,102,"['product', 'shall', 'instal', 'untrained', 'realtor', 'recourse', 'separately', 'print', 'instruction']",US
32,102,"['untrained', 'realtor', 'shall', 'able', 'install', 'product', 'device', 'print', 'instruction']",US
33,102,"['product', 'expect', 'run', 'windows', 'ce', 'palm', 'operating', 'system']",PO
34,102,"['register', 'realtor', 'shall', 'able', 'access', 'system']",SE
35,102,"['user', 'system', 'shall', 'authenticate', 'authorize']",SE
36,102,"['product', 'shall', 'prevent', 'datum', 'incorrect', 'datum', 'introduce']",SE
37,103,"['system', 'shall', 'easy', 'use', 'program', 'administrator', 'nursing', 'staff', 'member']",US
38,103,"['user', 'shall', 'able', 'use', 'system', 'day', 'training']",US
39,103,"['system', 'shall', 'help', 'user', 'avoid', 'make', 'mistake', 'scheduling', 'class', 'clinical', 'nursing', 'student']",US
40,103,"['number', 'mistake', 'note', 'student', 'shall', 'decrease', 'year']",US
41,103,"['system', 'shall', 'intuitive', 'program', 'administrator', 'nursing', 'staff', 'member']",US
42,103,"['program', 'administrator', 'nursing', 'staff', 'member', 'shall', 'successfully', 'able', 'use', 'system', 'manage', 'scheduling', 'class', 'clinical']",US
43,103,"['system', 'shall', 'use', 'symbol', 'word', 'naturally', 'understandable', 'user', 'community']",US
44,103,"['verbiage', 'system', 'shall', 'consistent', 'standard', 'english', 'terminology', 'national', 'nursing', 'community']",US
45,103,"['staff', 'member', 'shall', 'able', 'complete', 'set', 'task', 'timely', 'manner']",PE
46,103,"['response', 'time', 'general', 'student', 'management', 'task', 'shall', 'no', 'long', 'second', 'response', 'time', 'schedule', 'generation', 'shall', 'no', 'long', 'second']",PE
47,103,"['system', 'shall', 'available', 'use', 'hour', 'p.m.']",A
48,103,"['system', 'shall', 'achieve', 'time']",A
49,103,"['system', 'shall', 'able', 'handle', 'user', 'request', 'usage', 'business', 'hour']",SC
50,103,"['system', 'shall', 'cater', 'simultaneous', 'user', 'p.m.']",SC
51,103,"['system', 'shall', 'capable', 'process', 'nursing', 'student', 'class', 'year']",SC
52,103,"['system', 'shall', 'expect', 'manage', 'nursing', 'program', 'curriculum', 'class', 'clinical', 'scheduling', 'minimum', 'year']",SC
53,103,"['system', 'shall', 'able', 'operate', 'business', 'office', 'environment', 'typical', 'nursing', 'department', 'depaul', 'university']",O
54,103,"['system', 'shall', 'specification', 'define', 'computer', 'program', 'administrator', 'nursing', 'staff', 'member']",O
55,103,"['system', 'shall', 'operate', 'windows', 'xp', 'professional', 'operating', 'system']",O
56,103,"['system', 'shall', 'interface', 'campusconnect', 'central', 'server']",O
57,103,"['system', 'shall', 'interface', 'faculty', 'central', 'server']",O
58,103,"['system', 'shall', 'interface', 'student', 'master', 'server']",O
59,103,"['able', 'interface', 'html', 'browser']",O
60,103,"['authorize', 'user', 'shall', 'access', 'clinical', 'site', 'information']",SE
61,103,"['program', 'administrator', 'nursing', 'staff', 'member', 'people', 'shall', 'access', 'clinical', 'site', 'detail']",SE
62,103,"['authorize', 'user', 'shall', 'access', 'student', ""'"", 'personal', 'information']",SE
63,103,"['dr', 'susan', 'poslusny', 'dr', 'julie', 'donalek', 'people', 'shall', 'access', 'student', ""'"", 'personal', 'information']",SE
64,103,"['authorize', 'user', 'shall', 'access', 'portion', 'system', 'interface', 'campusconnect']",SE
65,103,"['fit', 'criterion', 'dr', 'susan', 'poslusny', 'karen', 'sysol', 'people', 'shall', 'access', 'final', 'class', 'section', 'scheduling', 'system', 'interface', 'campusconnect']",SE
66,103,"['system', 'shall', 'basic', 'datum', 'integrity', 'check', 'reduce', 'possibility', 'incorrect', 'invalid', 'datum', 'introduce']",SE
67,103,"['system', 'shall', 'protect', 'private', 'information', 'accordance', 'organization', 'information', 'policy']",SE
68,103,"['system', 'shall', 'build', 'secure', 'possible', 'malicious', 'interference']",SE
69,103,"['system', 'shall', 'use', 'organization', 'standard', 'virus', 'protection', 'software', 'help', 'monitor', 'threat']",SE
70,104,"['dispute', 'application', 'shall', 'comply', 'corporate', 'standard', 'user', 'interface', 'creation', 'internally', 'externally', 'application']",LF
71,104,"['screen', 'create', 'dispute', 'application', 'comply', 'corporate', 'standard', 'interface', 'creation']",LF
72,104,"['list', 'dispute', 'case', 'display', 'search', 'perform', 'color', 'code', 'easy', 'identification', 'dispute', 'case', 'base', 'dispute', 'case', 'status']",US
73,104,"['cardmember', 'merchant', 'service', 'representative', 'shall', 'use', 'dispute', 'application', 'regularly', 'training', 'course']",US
74,104,"['cardmember', 'service', 'representative', 'shall', 'able', 'successfully', 'create', 'dispute', 'case', 'encounter', 'complete', 'training', 'course']",US
75,104,"['merchant', 'service', 'representative', 'shall', 'able', 'successfully', 'perform', 'follow', 'action', 'dispute', 'case', 'encounter', 'complete', 'training', 'course']",US
76,104,"['maximum', 'wait', 'time', 'user', 'navigate', 'screen', 'dispute', 'application', 'shall', 'no', 'second']",PE
77,104,"['dispute', 'application', 'shall', 'support', 'concurrent', 'user', 'degradation', 'performance', 'application']",PE
78,104,"['dispute', 'application', 'shall', 'available', 'exception', 'following', 'schedule', 'maintenance', 'window', 'monday', 'saturday', 'est', 'sunday', 'est']",O
79,104,"['dispute', 'application', 'shall', 'interface', 'statement', 'database', 'statement', 'database', 'provide', 'transaction', 'detail', 'dispute', 'system', 'transaction', 'detail', 'obtain', 'statement', 'database']",O
80,104,"['dispute', 'application', 'shall', 'interface', 'cardmember', 'information', 'database', 'cardmember', 'information', 'database', 'provide', 'detailed', 'information', 'regard', 'cardmember', 'cardmember', 'detail', 'information', 'obtain', 'cardmember', 'information', 'database']",O
81,104,"['dispute', 'application', 'shall', 'interface', 'merchant', 'information', 'database', 'merchant', 'information', 'database', 'provide', 'detailed', 'information', 'regard', 'merchant', 'merchant', 'detail', 'information', 'shall', 'obtain', 'merchant', 'information', 'database']",O
82,104,"['dispute', 'application', 'shall', 'interface', 'letter', 'application', 'allow', 'dispute', 'application', 'request', 'letter', 'dispute', 'initiation', 'dispute', 'follow', 'process', 'letter', 'request', 'send', 'print', 'letter', 'utility', 'application']",O
83,104,"['dispute', 'application', 'shall', 'interface', 'cardmember', 'post', 'billing', 'system', 'allow', 'dispute', 'application', 'request', 'adjustment', 'cardmember', 'merchant', 'account', 'adjustment', 'request', 'send', 'cardmember', 'post', 'billing', 'system']",O
84,104,"['dispute', 'application', 'shall', 'ensure', 'user', 'appropriate', 'access', 'level', 'allow', 'initiate', 'dispute', 'request']",SE
85,104,"['user', 'update', 'access', 'able', 'initiate', 'dispute', 'request']",SE
86,104,"['dispute', 'application', 'shall', 'ensure', 'authorize', 'user', 'allow', 'logon', 'application']",SE
87,104,"['authorize', 'user', 'authenticate', 'able', 'logon', 'dispute', 'system']",SE
88,104,"['dispute', 'system', 'shall', 'generate', 'user', 'report', 'detail', 'new', 'user', 'add', 'change', 'exist', 'user', 'access', 'level', 'report', 'review', 'auditing', 'purpose']",SE
89,104,"['addition', 'new', 'user', 'modification', 'user', 'access', 'shall', 'record', 'user', 'report']",SE
90,104,"['user', 'account', 'revoke', 'instantiate', 'system', 'administrator']",SE
91,104,"['system', 'administrator', 'shall', 'able', 'reset', 'revoke', 'user', 'logon', 'account']",SE
92,104,"['dispute', 'application', 'shall', 'manipulate', 'view', 'business', 'datum', 'user', 'not', 'direct', 'access', 'data', 'file', 'database']",SE
93,104,"['update', 'data', 'file', 'database', 'initiate', 'dispute', 'system']",SE
94,104,"['dispute', 'application', 'conform', 'legal', 'requirement', 'specify', 'merchant', 'operate', 'regulation']",L
95,104,"['business', 'rule', 'specify', 'dispute', 'system', 'shall', 'compliance', 'merchant', 'operate', 'regulation']",L
96,104,"['dispute', 'application', 'conform', 'legal', 'requirement', 'specify', 'regulation', 'e', 'regulation', 'z', 'govern', 'credit', 'card', 'dispute', 'processing']",L
97,104,"['business', 'rule', 'specify', 'dispute', 'system', 'shall', 'compliance', 'guideline', 'regulation', 'e', 'regulation', 'z.']",L
98,104,"['dispute', 'application', 'maintain', 'detailed', 'history', 'action', 'user', 'take', 'dispute', 'case', 'ensure', 'complete', 'audit', 'trail', 'question', 'arise', 'later', 'regard', 'particular', 'dispute', 'case']",L
99,104,"['action', 'modify', 'exist', 'dispute', 'case', 'record', 'case', 'history']",L
100,105,"['product', 'support', 'internet', 'explorer']",O
101,105,"['product', 'support', 'mozilla', 'firefox']",O
102,105,"['product', 'shall', 'interface', 'choice', 'part', 'system', 'provide', 'feed', 'recycled', 'part', 'datum']",O
103,105,"['product', 'shall', 'run', 'exist', 'hardware', 'environment']",O
104,105,"['product', 'shall', 'adhere', 'corporate', 'architecture', 'guideline']",O
105,105,"['product', 'shall', 'comply', 'corporate', 'user', 'interface', 'guideline']",LF
106,105,"['product', 'shall', 'comply', 'corporate', 'color', 'scheme']",LF
107,105,"['appearance', 'product', 'shall', 'appear', 'professional']",LF
108,105,"['product', 'shall', 'easy', 'use', 'adjuster', 'collision', 'estimator', 'adjuster', 'collision', 'estimator', 'shall', 'find', 'product', 'easy', 'use']",US
109,105,"['product', 'shall', 'increase', 'productivity', 'collision', 'estimator', 'collision', 'estimator', 'shall', 'agree', 'productivity', 'increase', 'month', 'product']",US
110,105,"['user', 'shall', 'feel', 'satisfied', 'product', 'user', 'satisfied', 'product']",US
111,105,"['product', 'shall', 'easy', 'learn', 'adjuster', 'collision', 'estimator', 'product', 'shall', 'learn', 'day', 'onsite', 'training']",US
112,105,"['user', 'shall', 'easily', 'locate', 'instruction', 'product', 'user', 'help', 'find', 'system']",US
113,105,"['search', 'recycled', 'part', 'shall', 'no', 'long', 'second', 'search', 'result', 'shall', 'return', 'second']",PE
114,105,"['search', 'preferred', 'repair', 'facility', 'shall', 'no', 'long', 'second', 'preferred', 'repair', 'facility', 'return', 'second']",PE
115,105,"['recycled', 'part', 'audit', 'report', 'shall', 'return', 'user', 'second', 'audit', 'report', 'shall', 'return', 'second']",PE
116,105,"['prefer', 'repair', 'facility', 'rating', 'shall', 'save', 'second', 'save', 'shall', 'occur', 'second']",PE
117,105,"['product', 'shall', 'adhere', 'corporate', 'online', 'availability', 'schedule', 'application', 'bring', 'schedule', 'outage', 'availability', 'schedule']",A
118,105,"['product', 'shall', 'achieve', 'uptime', 'product', 'shall', 'not', 'fail', 'available', 'online', 'time']",A
119,105,"['product', 'shall', 'able', 'handle', 'simultaneous', 'user', 'system', 'shall', 'perform', 'user', 'time']",SC
120,105,"['average', 'number', 'recycled', 'part', 'record', 'day', 'shall']",SC
121,105,"['product', 'shall', 'able', 'handle', 'concurrent', 'user', 'year', 'initial', 'launch']",SC
122,105,"['estimator', 'product', 'shall', 'able', 'operate', 'repair', 'facility', 'dirty', 'noisy', 'condition']",O
123,105,"['product', 'shall', 'interface', 'choicepart', 'system', 'day', 'approximately']",O
124,105,"['maintenance', 'product', 'fall', 'establish', 'corporate', 'maintenance', 'window']",O
125,105,"['product', 'shall', 'support', 'corporate', 'support', 'center']",O
126,105,"['product', 'installation', 'upgrade', 'shall', 'handle', 'middleware', 'technology', 'team', 'established', 'launch', 'time', 'frame']",O
127,105,"['adjuster', 'request', 'recycled', 'part', 'audit', 'report', 'no', 'user', 'adjuster', 'role', 'shall', 'request', 'recycled', 'part', 'audits']",SE
128,105,"['adjuster', 'supervisor', 'role', 'update', 'prefer', 'repair', 'facility', 'rating', 'user', 'supervisor', 'role', 'not', 'access', 'repair', 'facility', 'rating']",SE
129,105,"['collision', 'estimator', 'shall', 'search', 'recycled', 'part', 'user', 'collision', 'estimator', 'role', 'shall', 'not', 'access', 'search', 'recycled', 'part']",SE
130,105,"['valid', 'datum', 'shall', 'enter', 'system', 'no', 'invalid', 'datum', 'shall', 'enter', 'system']",SE
131,105,"['insurance', 'company', 'shall', 'not', 'able', 'view', 'insurance', 'companys', 'claim', 'datum']",SE
132,105,"['product', 'shall', 'free', 'computer', 'virus']",SE
133,105,"['system', 'shall', 'prevent', 'malicious', 'attack', 'include', 'denial', 'service']",SE
134,105,"['product', 'comply', 'sarbane', 'oxley']",L
135,105,"['product', 'shall', 'comply', 'estimatic', 'law', 'relate', 'recycled', 'part', 'usage']",L
136,105,"['product', 'shall', 'comply', 'insurance', 'regulation', 'claim', 'process']",L
137,106,"['product', 'work', 'database', 'management', 'system', 'dbms', 'market', 'dbms', 'collocate', 'product', 'machine', 'locate', 'different', 'machine', 'computer', 'network']",O
138,106,"['product', 'function', 'alongside', 'server', 'software', 'operating', 'system', 'java', 'runtime', 'instal']",O
139,106,"['product', 'require', 'collaboration', 'database', 'management', 'system', 'dbms', 'dbms', 'locate', 'machine', 'product', 'separate', 'machine', 'reside', 'computer', 'network']",O
140,106,"['product', 'use', 'web', 'application', 'server', 'technology', 'open', 'source', 'example', 'include', 'apache', 'web', 'server', 'tomcat', 'jboss', 'application', 'server']",O
141,106,"['database', 'management', 'system', 'oracle', 'db2', 'mysql', 'hsql', 'need', 'integrate', 'product']",O
142,106,"['product', 'look', 'feel', 'shall', 'able', 'incorporate', 'aspect', 'customer', 'organization', 'logo', 'branding', 'identity']",LF
143,106,"['product', 'shall', 'conservative', 'professional', 'appearance']",LF
144,106,"['product', 'shall', 'user', 'want', 'use', 'user', 'survey', 'report', 'regularly', 'product', 'week', 'post', 'launch']",US
145,106,"['product', 'shall', 'easy', 'use', 'user', 'able', 'successfully', 'reserve', 'conference', 'room', 'minute', 'product', 'use']",US
146,106,"['product', 'shall', 'user', 'feedback', 'necessary', 'user', 'survey', 'report', 'product', 'accurately', 'confirm', 'action']",US
147,106,"['product', 'shall', 'allow', 'user', 'select', 'choose', 'language', 'target', 'market', 'country']",US
148,106,"['product', 'shall', 'allow', 'customization', 'start', 'page', 'view', 'preference']",US
149,106,"['employee', 'able', 'successfully', 'use', 'product', 'minute', 'informally', 'navigate', 'product', 'minute', 'user', 'shall', 'able', 'successfully', 'setup', 'meeting', 'reserve', 'conference', 'room']",US
150,106,"['product', 'shall', 'use', 'standard', 'navigation', 'menu', 'familiar', 'web', 'user']",US
151,106,"['product', 'shall', 'allow', 'intuitive', 'searching', 'available', 'conference', 'room']",US
152,106,"['product', 'shall', 'conform', 'americans', 'disabilities', 'act']",US
153,106,"['response', 'shall', 'fast', 'avoid', 'interrupt', 'user', 'flow', 'thought', 'task', 'shall', 'complete', 'second', 'task', 'shall', 'complete', 'second']",PE
154,106,"['aside', 'server', 'failure', 'software', 'product', 'shall', 'achieve', 'time']",A
155,106,"['product', 'shall', 'create', 'exception', 'log', 'problem', 'encounter', 'product', 'transmission', 'company', 'analysis', 'resolution']",FT
156,106,"['product', 'shall', 'capable', 'handle', 'concurrent', 'request', 'number', 'increase', 'release', 'concurrency', 'capacity', 'able', 'handle', 'peak', 'scheduling', 'time', 'early', 'morning', 'late', 'afternoon', 'hour']",SC
157,106,"['product', 'shall', 'able', 'process', 'transaction', 'hour', 'year', 'launch', 'number', 'increase', 'release']",SC
158,106,"['product', 'shall', 'expect', 'operate', 'year', 'customer', 'installation']",SC
159,106,"['product', 'shall', 'office', 'environment']",O
160,106,"['product', 'able', 'interface', 'html', 'browser', 'product', 'shall', 'transmit', 'datum', 'user', 'product', 'problem', 'product', 'shall', 'display', 'html', 'properly', 'html', 'browser', 'test', 'minimum', 'test', 'browser']",O
161,106,"['product', 'able', 'interface', 'database', 'management', 'system', 'product', 'shall', 'communicate', 'successfully', 'database', 'management', 'system', 'transaction']",O
162,106,"['product', 'able', 'interface', 'email', 'server', 'product', 'shall', 'able', 'send', 'email']",O
163,106,"['product', 'shall', 'available', 'distribution', 'internet', 'binary', 'zip', 'file']",O
164,106,"['product', 'shall', 'available', 'distribution', 'package', 'cd']",O
165,106,"['product', 'available', 'licensing', 'server', 'server', 'server', 'license']",O
166,106,"['new', 'user', 'able', 'add', 'system', 'minute', 'new', 'user', 'able', 'log', 'system', 'minute']",US
167,106,"['product', 'design', 'design', 'pattern', 'code', 'good', 'practice', 'maintenance', 'software', 'developer', 'able', 'integrate', 'new', 'functionality', 'product', 'work', 'day']",MN
168,106,"['product', 'highly', 'configurable', 'use', 'database', 'management', 'system', 'end', 'user', 'end', 'user', 'able', 'integrate', 'new', 'database', 'management', 'system', 'product', 'change', 'product', 'software', 'code']",MN
169,106,"['maintenance', 'release', 'offer', 'customer', 'year', 'release', 'shall', 'no', 'long', 'minute', 'customer', 'base', 'install']",MN
170,106,"['register', 'user', 'access', 'product', 'support', 'site', 'internet', 'register', 'user', 'shall', 'find', 'solution', 'problem', 'minute', 'support', 'site']",US
171,106,"['customer', 'shall', 'able', 'easily', 'integrate', 'new', 'building', 'map', 'product', 'product', 'lifecycle', 'integration', 'new', 'map', 'product', 'shall', 'possible', 'little', 'no', 'support', 'product', 'support', 'staff']",MN
172,106,"['product', 'shall', 'translate', 'foreign', 'language', 'target', 'market', 'country', ""'"", 'language', 'future', 'release', 'emerge', 'target', 'market', 'shall', 'no', 'day', 'configure', 'product', 'market', 'language']",US
173,106,"['product', 'expect', 'integrate', 'multiple', 'database', 'management', 'system', 'product', 'operate', 'oracle', 'sql', 'server', 'db2', 'mysql', 'hsql', 'ms', 'access']",O
174,106,"['product', 'shall', 'able', 'instal', 'operating', 'environment', 'day']",O
